date	1_EI_2019-08-27	2_EI_2019-08-27	3_EI_2019-08-27	4_EI_2019-08-27	5_EI_2019-08-27	6_EI_2019-08-27	7_EI_2019-08-27	8_EI_2019-08-27	9_EI_2019-08-27	10_EI_2019-08-27	11_EI_2019-08-27	12_EI_2019-08-27	13_EI_2019-08-27	14_EI_2019-08-27	15_EI_2019-08-27
20190801	7	27	7	3	1	11	7	1	15	5	4	52	13	14	9
20190802	4	19	4	4	1	14	9	1	14	9	4	52	14	13	11
20190803	8	21	4	5	1	11	6	2	18	4	5	52	12	14	9
20190804	6	15	5	4	1	13	6	1	19	5	3	55	11	17	11
20190805	6	20	5	5	1	13	6	2	17	6	3	55	14	16	10
20190806	9	19	6	6	2	11	5	3	18	6	5	52	10	17	10
20190807	6	20	7	2	1	12	3	1	17	5	5	54	13	17	11
20190808	6	18	4	3	2	10	5	1	14	7	4	61	11	15	8
20190809	5	1	11	2	4	26	9	4	59	14	5	1	18	7	3
20190810	4	16	4	3	2	10	8	1	14	7	3	58	11	15	7
20190811	7	16	8	3	2	9	6	1	15	6	3	61	13	19	6
20190812	6	20	15	3	1	10	4	1	20	9	6	55	15	18	8
20190813	4	22	13	3	2	8	5	1	18	9	4	57	13	12	6
20190814	4	22	6	2	1	7	7	1	20	9	4	64	13	12	6
20190815	5	17	6	3	1	10	9	2	21	7	5	61	13	12	8
20190816	4	17	8	4	2	10	7	2	19	8	5	66	15	15	7
20190817	5	16	9	4	2	8	8	2	23	9	6	62	15	15	6
20190818	3	21	5	3	2	9	4	1	24	10	5	68	16	12	6
20190819	5	17	6	4	1	9	3	1	29	13	7	59	16	13	9
20190820	5	17	5	3	2	8	4	1	31	11	5	61	16	15	6
20190821	8	19	7	5	1	8	4	1	17	13	3	57	15	15	5
20190822	6	26	7	5	2	7	3	1	22	15	4	51	14	14	8
20190823	3	26	11	3	2	6	3	2	17	18	3	55	20	11	8
20190824	4	20	9	4	1	7	2	2	22	22	4	62	14	16	5
20190825	4	19	15	4	2	8	4	1	18	16	4	54	17	18	6
20190826	2	19	8	5	3	6	3	1	23	12	5	60	16	16	6
20190827	3	19	8	7	2	8	4	1	22	14	6	60	21	14	6
20190828	3	18	4	4	2	9	3	1	18	15	5	61	21	12	7
20190829	3	18	2	5	2	7	4	1	23	17	4	54	15	11	8
20190830	4	21	3	6	2	8	2	1	23	16	6	59	18	11	5
20190831	4	19	4	4	2	8	2	1	24	12	5	57	18	13	7
20190901	5	18	3	6	2	7	1	1	19	17	5	61	18	12	6
20190902	4	16	3	5	1	9	2	1	24	15	7	63	17	10	6
20190903	10	19	4	5	2	6	2	1	26	12	7	65	16	8	6
20190904	3	22	6	5	3	6	6	1	20	11	5	71	23	9	5
20190905	3	24	7	5	2	6	3	1	25	11	7	55	21	11	5
20190906	3	20	4	6	2	7	4	1	25	14	8	55	19	8	5
20190907	2	17	2	7	1	8	2	1	25	19	4	48	14	8	5
20190908	2	20	2	8	1	7	3	1	24	25	3	49	12	9	5
20190909	3	16	2	9	1	6	3	1	26	15	4	52	14	10	5
20190910	2	16	1	5	1	6	2	1	32	17	7	54	12	9	5
20190911	2	24	4	8	1	6	2	1	24	20	4	55	11	8	7
20190912	3	16	4	9	1	7	4	1	28	10	10	54	12	12	8
20190913	2	13	1	8	2	6	5	1	30	7	5	59	12	10	8
20190914	3	15	2	8	1	8	1	1	28	9	5	65	13	13	6
20190915	1	12	1	7	2	5	1	1	32	10	4	67	11	12	8
20190916	3	14	2	6	3	5	1	1	34	11	5	70	10	13	6
20190917	2	12	2	6	3	8	1	1	35	13	6	66	10	17	7
20190918	2	13	3	7	2	6	2	1	38	13	5	62	9	18	8
20190919	3	18	4	6	2	8	1	1	33	10	6	58	12	21	7
20190920	3	17	8	8	1	7	1	1	40	12	7	55	12	22	9
20190921	3	15	10	7	1	6	3	1	47	15	7	41	12	26	13
20190922	4	16	15	7	1	8	3	2	39	15	6	42	13	23	11
20190923	4	19	16	9	1	7	4	2	38	20	6	32	16	22	12
20190924	5	19	9	8	1	8	2	1	41	13	6	34	13	21	15
20190925	4	23	6	7	1	7	4	1	35	20	8	33	14	11	13
20190926	12	24	6	10	1	7	3	1	40	17	7	23	17	11	10
20190927	3	25	4	7	1	5	3	1	50	16	8	18	17	9	12
20190928	3	33	5	8	1	5	2	1	47	20	7	20	18	8	9
20190929	3	33	6	10	1	6	4	2	37	21	6	13	21	6	15
20190930	2	40	2	6	1	5	6	1	38	20	9	11	19	5	12
