id	name	population	
CHN	China	"3059"	
IND	India	"287"	
USA	United States	"2244"	
IDN	Indonesia	"5"	
BRA	Brazil	"241"	
PAK	Pakistan	""	
BGD	Bangladesh	""	
NGA	Nigeria	"19"	
RUS	Russia	"530"	
JPN	Japan	"333"	
MEX	Mexico	"84"	
PHL	Philippines	"3"	
VNM	Vietnam	"3"	
ETH	Ethiopia	""	
DEU	Germany	"431"	
EGY	Egypt	""	
TUR	Turkey	"202"	
COD	"Congo, Democratic Republic of the"	""	
IRN	Iran	""	
THA	Thailand	"15"	
FRA	France	"406"	
GBR	United Kingdom	"2777"	
ITA	Italy	"810"	
MMR	Burma	""	
ZAF	South Africa	"245"	
KOR	"Korea, South"	"454"	
